fnlwgt,education_num,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,age_generalized,education_generalized,occupation_generalized,workclass_generalized,marital_generalized,native_generalized,suppressed
84154,10,Husband,White,Male,0,0,38,>50K,25-39,Secondary,Sales,Private,Married,Other,False
507875,5,Husband,White,Male,0,0,43,<=50K,25-39,9th,Machine-op-inspct,Private,Married,USA,False
88506,13,Husband,White,Male,0,0,40,<=50K,40-59,HigherEd,Prof-specialty,Self-Employed,Married,USA,False
172987,13,Husband,White,Male,0,0,50,<=50K,<25,HigherEd,White-collar,Private,Married,USA,False
94638,9,Unmarried,White,Female,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Separated,USA,False
144361,9,Husband,White,Male,0,0,38,<=50K,40-59,Secondary,Machine-op-inspct,Private,Married,USA,False
128354,14,Unmarried,White,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Private,Separated,USA,False
101603,11,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-voc,Blue-collar,Government,Married,USA,False
32275,10,Wife,Other,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Married,USA,False
251585,13,Not-in-family,White,Male,0,0,55,>50K,40-59,HigherEd,White-collar,Government,Separated,USA,False
109832,9,Not-in-family,White,Male,0,0,60,<=50K,40-59,Secondary,White-collar,Self-Employed,Separated,USA,False
237993,10,Husband,White,Male,0,0,40,>50K,40-59,Secondary,White-collar,Private,Married,USA,False
216666,3,Husband,White,Male,0,0,40,<=50K,40-59,5th-6th,Machine-op-inspct,Private,Married,Other,False
147372,9,Husband,White,Male,0,0,48,<=50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
188146,9,Husband,White,Male,5013,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Married,USA,False
59496,13,Husband,White,Male,2407,0,40,<=50K,25-39,HigherEd,Sales,Private,Married,USA,False
149640,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Private,Married,USA,False
105598,10,Not-in-family,White,Male,0,0,58,<=50K,25-39,Secondary,White-collar,Private,Separated,USA,False
155537,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
183175,10,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Separated,USA,False
169846,9,Wife,White,Female,0,0,40,>50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
191681,10,Husband,White,Male,0,0,50,>50K,40-59,Secondary,White-collar,Self-Employed,Married,USA,False
309974,13,Own-child,Black,Female,0,0,40,<=50K,25-39,HigherEd,Sales,Private,Separated,USA,False
162298,13,Husband,White,Male,0,0,70,>50K,25-39,HigherEd,Sales,Self-Employed,Married,USA,False
124744,10,Other-relative,White,Male,0,0,20,<=50K,60+,Secondary,Prof-specialty,Private,Married,USA,False
32214,12,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-acdm,Adm-clerical,Private,Married,USA,False
212759,6,Husband,White,Male,0,0,2,<=50K,60+,10th,?,?,Married,USA,False
276515,13,Husband,White,Male,0,0,40,<=50K,40-59,HigherEd,Service,Private,Married,Other,False
51618,9,Wife,White,Female,0,0,40,<=50K,40-59,Secondary,Service,Private,Married,USA,False
159937,9,Husband,White,Male,0,0,48,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
343591,9,Not-in-family,White,Female,14344,0,40,>50K,40-59,Secondary,Blue-collar,Private,Separated,USA,False
346253,9,Own-child,White,Female,0,0,35,<=50K,40-59,Secondary,Sales,Private,Separated,USA,False
268234,9,Husband,White,Male,0,0,40,>50K,40-59,Secondary,Protective-serv,Local-gov,Married,USA,False
202051,14,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
54334,5,Not-in-family,White,Male,0,0,40,<=50K,25-39,9th,Sales,Private,Single,USA,False
410867,16,Not-in-family,White,Female,0,0,50,>50K,40-59,Doctorate,Prof-specialty,Government,Single,USA,False
249977,11,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-voc,Prof-specialty,Private,Married,USA,False
286730,10,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
212563,10,Unmarried,Black,Female,0,0,25,<=50K,25-39,Secondary,Machine-op-inspct,Private,Separated,USA,False
117747,9,Wife,Asian-Pac-Islander,Female,0,1573,35,<=50K,25-39,Secondary,Sales,Private,Married,Other,False
202683,10,Husband,White,Male,0,0,48,>50K,25-39,Secondary,Sales,Private,Married,USA,False
249409,9,Own-child,Black,Male,0,0,40,<=50K,25-39,Secondary,Service,Government,Single,USA,False
103432,9,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Single,USA,False
317660,9,Husband,White,Male,7688,0,40,>50K,25-39,Secondary,Blue-collar,Self-Employed,Married,USA,False
124692,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Handlers-cleaners,Private,Married,USA,False
335605,9,Husband,White,Male,0,1887,50,>50K,40-59,Secondary,Service,Self-Employed,Married,Other,False
377869,10,Wife,White,Female,4064,0,25,<=50K,25-39,Secondary,Sales,Private,Married,USA,False
102864,9,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Single,USA,False
95647,5,Husband,White,Male,0,0,50,<=50K,40-59,9th,Handlers-cleaners,Private,Married,USA,False
303090,10,Husband,White,Male,0,0,50,<=50K,40-59,Secondary,Sales,Self-Employed,Married,USA,False
247552,10,Husband,White,Male,0,0,56,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
199915,10,Own-child,White,Female,0,0,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
267989,13,Husband,White,Male,0,0,50,>50K,25-39,HigherEd,Prof-specialty,Government,Married,USA,False
301606,10,Own-child,Black,Male,0,0,35,<=50K,<25,Secondary,Service,Private,Single,USA,False
114937,12,Husband,White,Male,0,0,40,>50K,25-39,Assoc-acdm,Adm-clerical,Private,Married,USA,False
129305,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,?,?,Married,USA,False
365739,10,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
69621,12,Not-in-family,White,Female,0,0,60,<=50K,25-39,Assoc-acdm,Sales,Private,Single,USA,False
43323,9,Not-in-family,White,Female,0,1762,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
120985,9,Husband,White,Male,4386,0,35,<=50K,25-39,Secondary,Blue-collar,Self-Employed,Married,USA,False
254202,13,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Sales,Private,Married,USA,False
146195,12,Not-in-family,Black,Female,0,0,36,<=50K,40-59,Assoc-acdm,White-collar,Private,Separated,USA,False
125933,14,Husband,White,Male,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Government,Married,Other,False
56920,9,Husband,White,Male,0,0,60,<=50K,40-59,Secondary,Blue-collar,Self-Employed,Married,USA,False
163127,11,Wife,White,Female,0,0,35,<=50K,25-39,Assoc-voc,Adm-clerical,Private,Married,USA,False
81973,10,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
66614,9,Husband,White,Male,0,0,40,<=50K,60+,Secondary,Blue-collar,Self-Employed,Married,USA,False
232782,10,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,Sales,Private,Single,USA,False
196584,11,Not-in-family,White,Female,0,1564,40,>50K,40-59,Assoc-voc,Prof-specialty,Private,Single,USA,False
185814,9,Unmarried,Black,Female,0,0,30,<=50K,25-39,Secondary,Transport-moving,Private,Single,USA,False
175374,10,Husband,White,Male,0,0,24,<=50K,<25,Secondary,Service,Private,Married,USA,False
174662,10,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,?,?,Separated,USA,False
198183,9,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Single,USA,False
252903,9,Not-in-family,White,Male,0,0,45,>50K,40-59,Secondary,?,?,Separated,USA,False
187715,9,Husband,White,Male,0,0,46,<=50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
191535,9,Not-in-family,White,Male,0,0,60,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
228456,13,Other-relative,Black,Male,0,0,50,<=50K,40-59,HigherEd,Service,Private,Separated,USA,False
252752,9,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Service,Private,Single,USA,False
78374,14,Unmarried,Asian-Pac-Islander,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
88419,9,Not-in-family,Asian-Pac-Islander,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Single,Other,False
201080,14,Husband,White,Male,0,0,40,>50K,40-59,HigherEd,Sales,Self-Employed,Married,USA,False
124953,9,Not-in-family,White,Male,0,1980,40,<=50K,25-39,Secondary,Service,Private,Single,USA,False
175325,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Protective-serv,Government,Married,USA,False
96062,10,Husband,White,Male,0,1977,40,>50K,40-59,Secondary,Sales,Private,Married,USA,False
428030,13,Not-in-family,White,Male,0,0,50,<=50K,25-39,HigherEd,Blue-collar,Private,Single,USA,False
149624,13,Husband,White,Male,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Government,Married,USA,False
183930,9,Own-child,White,Male,0,0,12,<=50K,<25,Secondary,Service,Private,Single,USA,False
37274,13,Husband,White,Male,0,0,65,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
181344,10,Husband,Black,Male,0,0,38,>50K,40-59,Secondary,White-collar,Local-gov,Married,USA,False
114580,10,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Separated,USA,False
633742,10,Not-in-family,Black,Male,0,0,45,<=50K,25-39,Secondary,Blue-collar,Private,Single,USA,False
286370,4,Husband,White,Male,0,0,40,>50K,40-59,7th-8th,Machine-op-inspct,Private,Married,Other,False
29054,10,Husband,White,Male,0,0,42,>50K,25-39,Secondary,Adm-clerical,Government,Married,USA,False
304030,9,Husband,Black,Male,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Married,USA,False
143129,13,Not-in-family,White,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
99928,14,Wife,White,Female,0,0,50,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
155222,10,Not-in-family,Black,Female,0,0,28,<=50K,25-39,Secondary,Machine-op-inspct,Private,Separated,USA,False
159567,10,Husband,White,Male,0,0,40,<=50K,<25,Secondary,Machine-op-inspct,Private,Married,USA,False
523910,13,Husband,Black,Male,0,0,40,<=50K,40-59,HigherEd,Blue-collar,Local-gov,Married,USA,False
120939,10,Husband,White,Male,0,0,45,<=50K,40-59,Secondary,White-collar,Private,Married,USA,False
99374,10,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
56795,14,Not-in-family,White,Female,14084,0,55,>50K,40-59,HigherEd,White-collar,Government,Single,USA,False
138992,14,Other-relative,White,Male,7298,0,40,>50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
32921,9,Not-in-family,White,Male,0,0,40,<=50K,<25,Secondary,Sales,Self-Employed,Single,USA,False
397317,14,Not-in-family,White,Female,0,1876,40,<=50K,25-39,HigherEd,Prof-specialty,Private,Single,USA,False
170653,9,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,?,?,Single,Other,False
48211,9,Unmarried,White,Female,0,0,35,<=50K,25-39,Secondary,Adm-clerical,Government,Separated,USA,False
128757,13,Husband,Black,Male,7298,0,36,>50K,25-39,HigherEd,Service,Private,Married,USA,False
36270,9,Not-in-family,White,Male,0,0,60,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
210563,9,Wife,White,Female,15024,0,35,>50K,40-59,Secondary,Sales,Self-Employed,Married,USA,False
160943,9,Husband,Black,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Local-gov,Married,USA,False
208358,9,Husband,White,Male,0,0,40,>50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
153790,10,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,<=50K,25-39,Secondary,Sales,Private,Single,USA,False
85815,9,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,60+,Secondary,Blue-collar,Private,Married,USA,False
635913,13,Not-in-family,Black,Male,0,0,60,>50K,25-39,HigherEd,White-collar,Private,Single,USA,False
182609,13,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Sales,Private,Married,Other,False
197860,10,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Handlers-cleaners,Private,Married,USA,False
176681,9,Husband,Black,Male,0,0,20,<=50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
167687,9,Husband,White,Male,1409,0,50,<=50K,60+,Secondary,Farming-fishing,Self-Employed,Married,USA,False
130408,9,Unmarried,Black,Female,0,0,38,<=50K,40-59,Secondary,Sales,Private,Separated,USA,False
159732,10,Not-in-family,White,Male,0,0,42,<=50K,25-39,Secondary,Adm-clerical,Private,Single,USA,False
110978,10,Other-relative,Other,Female,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
76714,15,Not-in-family,White,Male,0,0,55,>50K,25-39,Prof-school,Prof-specialty,Private,Single,USA,False
268700,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Service,Government,Married,USA,False
170525,10,Not-in-family,White,Female,0,0,38,<=50K,40-59,Secondary,Adm-clerical,Government,Single,USA,False
115076,14,Husband,White,Male,0,0,70,>50K,25-39,HigherEd,White-collar,Local-gov,Married,USA,False
196001,9,Wife,White,Female,0,0,20,<=50K,40-59,Secondary,Service,Self-Employed,Married,USA,False
179488,10,Not-in-family,White,Male,0,1741,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
203580,9,Husband,White,Male,0,0,35,<=50K,40-59,Secondary,Adm-clerical,Private,Married,Other,False
236596,9,Husband,White,Male,0,0,45,>50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
183916,9,Not-in-family,White,Female,0,0,34,<=50K,25-39,Secondary,Service,Private,Single,USA,False
153141,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Married,Other,False
390781,13,Wife,Black,Female,0,0,40,<=50K,40-59,HigherEd,Adm-clerical,Private,Married,USA,False
117789,9,Own-child,White,Female,0,0,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
172579,9,Not-in-family,White,Female,0,0,30,<=50K,25-39,Secondary,Service,Private,Separated,USA,False
150042,13,Own-child,White,Female,0,0,40,<=50K,25-39,HigherEd,Prof-specialty,Private,Separated,USA,False
98092,9,Husband,White,Male,0,0,60,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
146013,10,Husband,White,Male,4064,0,40,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
378322,7,Husband,White,Male,0,0,40,<=50K,25-39,11th,Blue-collar,Private,Married,USA,False
257295,10,Husband,Asian-Pac-Islander,Male,0,0,75,>50K,25-39,Secondary,White-collar,Self-Employed,Married,Other,False
218956,10,Own-child,White,Male,0,0,24,<=50K,<25,Secondary,?,?,Single,Other,False
21174,9,Husband,White,Male,0,0,40,>50K,60+,Secondary,White-collar,Private,Married,USA,False
185480,13,Not-in-family,White,Female,0,0,45,<=50K,25-39,HigherEd,Prof-specialty,Private,Single,USA,False
222205,9,Wife,White,Female,0,0,40,>50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
69867,9,Husband,White,Male,0,0,40,>50K,60+,Secondary,White-collar,Private,Married,USA,False
30653,14,Husband,White,Male,2407,0,98,<=50K,40-59,HigherEd,Farming-fishing,Self-Employed,Married,USA,False
209109,14,Own-child,White,Male,0,0,35,<=50K,25-39,HigherEd,Prof-specialty,Local-gov,Single,USA,False
70377,9,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,Prof-specialty,Private,Separated,USA,False
477983,9,Husband,Black,Male,0,0,40,<=50K,40-59,Secondary,Handlers-cleaners,Private,Married,USA,False
170924,10,Husband,White,Male,7298,0,40,>50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
190174,10,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Single,USA,False
193787,10,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Single,USA,False
279472,10,Wife,White,Female,7298,0,48,>50K,<25,Secondary,Machine-op-inspct,Private,Married,USA,False
97688,10,Husband,White,Male,5178,0,40,>50K,40-59,Secondary,Blue-collar,Local-gov,Married,USA,False
175413,12,Unmarried,Black,Female,0,0,45,<=50K,25-39,Assoc-acdm,Sales,Private,Separated,USA,False
173960,13,Not-in-family,White,Female,0,0,42,<=50K,60+,HigherEd,Prof-specialty,Private,Separated,USA,False
425161,14,Husband,White,Male,15024,0,40,>50K,40-59,HigherEd,Sales,Government,Married,USA,False
176609,10,Not-in-family,White,Male,0,0,45,<=50K,40-59,Secondary,Service,Private,Separated,USA,False
371987,13,Not-in-family,White,Female,0,0,40,<=50K,25-39,HigherEd,White-collar,Private,Single,USA,False
200352,13,Husband,White,Male,0,0,45,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
127595,9,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Prof-specialty,Private,Separated,USA,False
220419,13,Not-in-family,White,Male,0,0,56,<=50K,25-39,HigherEd,Protective-serv,Local-gov,Single,USA,False
248402,13,Unmarried,Black,Female,0,0,40,<=50K,25-39,HigherEd,White-collar,Private,Single,USA,False
111095,9,Husband,White,Male,0,0,16,<=50K,60+,Secondary,Transport-moving,Private,Married,USA,False
57424,13,Not-in-family,White,Female,0,0,60,<=50K,25-39,HigherEd,Sales,Self-Employed,Separated,USA,False
157443,14,Wife,Asian-Pac-Islander,Female,3464,0,40,<=50K,25-39,HigherEd,?,?,Married,Other,False
169469,9,Not-in-family,White,Male,0,0,80,<=50K,25-39,Secondary,Sales,Private,Separated,USA,False
146268,13,Husband,White,Male,7688,0,40,>50K,40-59,HigherEd,Adm-clerical,Private,Married,USA,False
153718,10,Not-in-family,Asian-Pac-Islander,Female,0,0,25,<=50K,<25,Secondary,Service,Private,Single,USA,False
217460,9,Husband,White,Male,0,0,45,>50K,25-39,Secondary,Transport-moving,Private,Married,USA,False
238638,9,Husband,White,Male,4386,0,40,>50K,40-59,Secondary,Sales,Private,Married,USA,False
173321,9,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Separated,USA,False
193945,12,Not-in-family,White,Male,0,0,45,<=50K,25-39,Assoc-acdm,White-collar,Private,Single,USA,False
83082,12,Not-in-family,White,Female,0,0,33,<=50K,40-59,Assoc-acdm,Prof-specialty,Private,Single,USA,False
193815,12,Husband,White,Male,0,0,40,>50K,25-39,Assoc-acdm,Adm-clerical,Private,Married,USA,False
34987,10,Husband,White,Male,0,0,54,>50K,40-59,Secondary,Farming-fishing,Self-Employed,Married,USA,False
59306,13,Not-in-family,White,Male,0,0,40,<=50K,25-39,HigherEd,Sales,Private,Single,USA,False
142897,14,Husband,Asian-Pac-Islander,Male,7298,0,35,>50K,25-39,HigherEd,White-collar,Private,Married,Other,False
205607,13,Not-in-family,Black,Female,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Self-Employed,Separated,USA,False
138714,10,Husband,White,Male,0,0,40,<=50K,60+,Secondary,Sales,Self-Employed,Married,USA,False
423158,10,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Single,USA,False
174308,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,White-collar,Self-Employed,Married,USA,False
50356,10,Husband,White,Male,0,1485,50,<=50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
186110,9,Not-in-family,White,Male,0,0,45,<=50K,25-39,Secondary,Transport-moving,Private,Separated,USA,False
174309,14,Husband,White,Male,0,0,10,<=50K,60+,HigherEd,Blue-collar,Self-Employed,Married,USA,False
78383,9,Husband,White,Male,0,0,45,<=50K,60+,Secondary,Farming-fishing,Self-Employed,Married,USA,False
187728,10,Wife,White,Female,0,1887,50,>50K,40-59,Secondary,Prof-specialty,Private,Married,USA,False
321171,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Handlers-cleaners,Self-Employed,Married,USA,False
206565,10,Not-in-family,Black,Male,0,0,45,<=50K,40-59,Secondary,Blue-collar,Private,Single,USA,False
224563,13,Not-in-family,White,Male,0,0,40,<=50K,25-39,HigherEd,Adm-clerical,Private,Single,USA,False
242606,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Private,Married,USA,False
94235,9,Other-relative,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Single,USA,False
71195,14,Not-in-family,White,Male,0,0,60,<=50K,40-59,HigherEd,Prof-specialty,Private,Single,USA,False
261192,9,Husband,Black,Male,0,0,40,<=50K,40-59,Secondary,Service,Private,Married,USA,False
94936,12,Not-in-family,White,Male,0,0,40,<=50K,25-39,Assoc-acdm,Sales,Private,Single,USA,False
296478,11,Husband,White,Male,7298,0,40,>50K,25-39,Assoc-voc,Blue-collar,Private,Married,USA,False
119272,9,Husband,White,Male,7298,0,40,>50K,25-39,Secondary,Protective-serv,Government,Married,USA,False
241895,13,Not-in-family,White,Male,0,0,42,<=50K,40-59,HigherEd,Sales,Self-Employed,Single,USA,False
156464,13,Own-child,White,Male,0,0,25,<=50K,25-39,HigherEd,Prof-specialty,Private,Single,USA,False
192262,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Service,Private,Married,USA,False
372020,13,Husband,White,Male,0,0,40,>50K,40-59,HigherEd,?,?,Married,USA,False
95432,9,Husband,White,Male,0,0,40,>50K,25-39,Secondary,Adm-clerical,Government,Married,USA,False
111949,9,Wife,White,Female,0,0,35,<=50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
270092,14,Husband,White,Male,0,0,40,>50K,60+,HigherEd,Prof-specialty,Private,Married,USA,False
180609,13,Husband,White,Male,0,0,45,<=50K,40-59,HigherEd,Transport-moving,Private,Married,USA,False
174575,13,Not-in-family,White,Male,0,1564,45,>50K,40-59,HigherEd,White-collar,Private,Separated,USA,False
92262,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
183081,10,Husband,White,Male,0,0,45,<=50K,40-59,Secondary,Sales,Self-Employed,Married,USA,False
212448,13,Not-in-family,White,Female,0,0,45,>50K,40-59,HigherEd,White-collar,Private,Separated,USA,False
481060,9,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Sales,Private,Separated,USA,False
185885,10,Unmarried,White,Female,0,0,15,<=50K,25-39,Secondary,Adm-clerical,Government,Single,USA,False
256649,9,Husband,Black,Male,0,0,40,<=50K,40-59,Secondary,Machine-op-inspct,Private,Married,USA,False
160323,9,Not-in-family,Black,Male,0,0,40,<=50K,40-59,Secondary,Blue-collar,Private,Single,USA,False
267404,9,Wife,White,Female,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
80914,14,Not-in-family,White,Male,0,0,30,<=50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
172927,9,Husband,White,Male,0,0,50,<=50K,25-39,Secondary,Sales,Private,Married,USA,False
174319,9,Not-in-family,White,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Private,Separated,USA,False
344991,10,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
108699,10,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,Sales,Private,Separated,USA,False
396099,9,Not-in-family,White,Female,0,0,25,<=50K,<25,Secondary,Service,Private,Single,USA,False
134152,9,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Separated,USA,False
162028,10,Wife,White,Female,0,2415,6,>50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
232392,9,Other-relative,White,Female,0,0,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
220098,9,Wife,White,Female,0,0,40,>50K,25-39,Secondary,Service,Private,Married,USA,False
301302,13,Not-in-family,White,Male,0,0,50,<=50K,25-39,HigherEd,Blue-collar,Private,Single,USA,False
98101,13,Husband,White,Male,7688,0,45,>50K,25-39,HigherEd,White-collar,Government,Married,Other,False
196164,9,Not-in-family,White,Female,0,0,35,<=50K,25-39,Secondary,Service,Private,Single,USA,False
115562,10,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,White-collar,Private,Married,USA,False
108574,10,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Service,Private,Single,USA,False
227689,11,Not-in-family,White,Female,0,0,64,<=50K,25-39,Assoc-voc,White-collar,Private,Separated,USA,False
110145,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Married,USA,False
317253,9,Husband,White,Male,0,0,25,<=50K,40-59,Secondary,Blue-collar,Self-Employed,Married,USA,False
123147,10,Wife,White,Female,0,1887,40,>50K,25-39,Secondary,?,?,Married,USA,False
364657,10,Husband,White,Male,0,0,50,<=50K,25-39,Secondary,White-collar,Private,Married,USA,False
118500,10,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Separated,USA,False
