fnlwgt,education_num,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,age_generalized,education_generalized,occupation_generalized,workclass_generalized,marital_generalized,native_generalized,suppressed
266015,10,Own-child,Black,Male,0,0,44,<=50K,<25,Secondary,Sales,Private,Single,USA,True
386940,13,Own-child,White,Male,0,1408,40,<=50K,40-59,HigherEd,White-collar,Private,Separated,USA,False
59951,10,Own-child,White,Male,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Government,Married,USA,False
311512,10,Husband,Black,Male,0,0,15,<=50K,<25,Secondary,Service,Government,Married,USA,True
242406,7,Unmarried,White,Male,0,0,40,<=50K,40-59,11th,Machine-op-inspct,Private,Single,Other,True
197200,10,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,Machine-op-inspct,Private,Single,USA,True
544091,9,Wife,White,Female,0,0,25,<=50K,<25,Secondary,Adm-clerical,Private,Married-AF-spouse,USA,True
84154,10,Husband,White,Male,0,0,38,>50K,25-39,Secondary,Sales,Private,Married,Other,False
265477,12,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-acdm,Prof-specialty,Self-Employed,Married,USA,True
507875,5,Husband,White,Male,0,0,43,<=50K,25-39,9th,Machine-op-inspct,Private,Married,USA,False
88506,13,Husband,White,Male,0,0,40,<=50K,40-59,HigherEd,Prof-specialty,Self-Employed,Married,USA,False
172987,13,Husband,White,Male,0,0,50,<=50K,<25,HigherEd,White-collar,Private,Married,USA,False
94638,9,Unmarried,White,Female,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Separated,USA,False
289980,9,Not-in-family,White,Male,0,0,35,<=50K,25-39,Secondary,Handlers-cleaners,Private,Single,USA,True
337895,13,Husband,Black,Male,0,0,40,>50K,40-59,HigherEd,Prof-specialty,Government,Married,USA,False
144361,9,Husband,White,Male,0,0,38,<=50K,40-59,Secondary,Machine-op-inspct,Private,Married,USA,False
128354,14,Unmarried,White,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Private,Separated,USA,False
101603,11,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-voc,Blue-collar,Government,Married,USA,False
271466,11,Not-in-family,White,Male,0,0,43,<=50K,25-39,Assoc-voc,Prof-specialty,Private,Single,USA,True
32275,10,Wife,Other,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Married,USA,False
226956,9,Own-child,White,Female,0,0,30,<=50K,<25,Secondary,Service,Private,Single,Other,True
51835,15,Wife,White,Female,0,1902,60,>50K,40-59,Prof-school,Prof-specialty,Private,Married,Other,True
251585,13,Not-in-family,White,Male,0,0,55,>50K,40-59,HigherEd,White-collar,Government,Separated,USA,False
109832,9,Not-in-family,White,Male,0,0,60,<=50K,40-59,Secondary,White-collar,Self-Employed,Separated,USA,False
237993,10,Husband,White,Male,0,0,40,>50K,40-59,Secondary,White-collar,Private,Married,USA,False
216666,3,Husband,White,Male,0,0,40,<=50K,40-59,5th-6th,Machine-op-inspct,Private,Married,Other,False
56352,11,Husband,White,Male,0,0,40,<=50K,25-39,Assoc-voc,Service,Private,Married,Other,True
147372,9,Husband,White,Male,0,0,48,<=50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
188146,9,Husband,White,Male,5013,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Married,USA,False
59496,13,Husband,White,Male,2407,0,40,<=50K,25-39,HigherEd,Sales,Private,Married,USA,False
293936,4,Not-in-family,White,Male,0,0,40,<=50K,25-39,7th-8th,?,?,Married-spouse-absent,Other,True
149640,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Private,Married,USA,False
116632,16,Husband,White,Male,0,0,45,>50K,40-59,Doctorate,Prof-specialty,Private,Married,USA,False
105598,10,Not-in-family,White,Male,0,0,58,<=50K,25-39,Secondary,White-collar,Private,Separated,USA,False
155537,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
183175,10,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Separated,USA,False
169846,9,Wife,White,Female,0,0,40,>50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
191681,10,Husband,White,Male,0,0,50,>50K,40-59,Secondary,White-collar,Self-Employed,Married,USA,False
200681,10,Own-child,White,Male,0,0,40,<=50K,25-39,Secondary,?,?,Single,USA,True
101509,10,Own-child,White,Male,0,0,32,<=50K,<25,Secondary,Prof-specialty,Private,Single,USA,True
309974,13,Own-child,Black,Female,0,0,40,<=50K,25-39,HigherEd,Sales,Private,Separated,USA,False
162298,13,Husband,White,Male,0,0,70,>50K,25-39,HigherEd,Sales,Self-Employed,Married,USA,False
211678,10,Not-in-family,White,Male,0,0,40,<=50K,<25,Secondary,Machine-op-inspct,Private,Single,USA,True
124744,10,Other-relative,White,Male,0,0,20,<=50K,60+,Secondary,Prof-specialty,Private,Married,USA,False
213921,9,Own-child,White,Male,0,0,40,<=50K,25-39,Secondary,Service,Private,Single,Other,True
32214,12,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-acdm,Adm-clerical,Private,Married,USA,False
212759,6,Husband,White,Male,0,0,2,<=50K,60+,10th,?,?,Married,USA,False
309634,7,Own-child,White,Female,0,0,22,<=50K,<25,11th,Service,Private,Single,USA,True
125927,4,Husband,White,Male,0,0,40,<=50K,25-39,7th-8th,Farming-fishing,Local-gov,Married,USA,True
446839,9,Not-in-family,White,Male,0,0,30,<=50K,<25,Secondary,Sales,Private,Single,USA,True
276515,13,Husband,White,Male,0,0,40,<=50K,40-59,HigherEd,Service,Private,Married,Other,False
51618,9,Wife,White,Female,0,0,40,<=50K,40-59,Secondary,Service,Private,Married,USA,False
159937,9,Husband,White,Male,0,0,48,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
343591,9,Not-in-family,White,Female,14344,0,40,>50K,40-59,Secondary,Blue-collar,Private,Separated,USA,False
346253,9,Own-child,White,Female,0,0,35,<=50K,40-59,Secondary,Sales,Private,Separated,USA,False
268234,9,Husband,White,Male,0,0,40,>50K,40-59,Secondary,Protective-serv,Local-gov,Married,USA,False
202051,14,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
54334,5,Not-in-family,White,Male,0,0,40,<=50K,25-39,9th,Sales,Private,Single,USA,False
410867,16,Not-in-family,White,Female,0,0,50,>50K,40-59,Doctorate,Prof-specialty,Government,Single,USA,False
249977,11,Husband,White,Male,0,0,40,<=50K,40-59,Assoc-voc,Prof-specialty,Private,Married,USA,False
286730,10,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
212563,10,Unmarried,Black,Female,0,0,25,<=50K,25-39,Secondary,Machine-op-inspct,Private,Separated,USA,False
117747,9,Wife,Asian-Pac-Islander,Female,0,1573,35,<=50K,25-39,Secondary,Sales,Private,Married,Other,False
226296,13,Husband,White,Male,0,0,40,>50K,25-39,HigherEd,Protective-serv,Local-gov,Married,USA,False
115585,10,Not-in-family,White,Male,0,0,50,<=50K,25-39,Secondary,Handlers-cleaners,Local-gov,Single,USA,True
191277,16,Husband,White,Male,0,1902,60,>50K,40-59,Doctorate,Prof-specialty,Self-Employed,Married,USA,False
202683,10,Husband,White,Male,0,0,48,>50K,25-39,Secondary,Sales,Private,Married,USA,False
171095,12,Unmarried,White,Female,0,0,40,<=50K,40-59,Assoc-acdm,White-collar,Private,Separated,Other,True
249409,9,Own-child,Black,Male,0,0,40,<=50K,25-39,Secondary,Service,Government,Single,USA,False
124191,14,Husband,White,Male,0,0,40,>50K,60+,HigherEd,White-collar,Private,Married,USA,False
198282,13,Husband,White,Male,15024,0,60,>50K,40-59,HigherEd,White-collar,Private,Married,USA,False
149116,14,Not-in-family,White,Female,0,0,50,<=50K,40-59,HigherEd,Prof-specialty,Self-Employed,Single,USA,True
188300,10,Own-child,White,Female,0,0,40,<=50K,<25,Secondary,White-collar,Private,Single,USA,True
103432,9,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Single,USA,False
317660,9,Husband,White,Male,7688,0,40,>50K,25-39,Secondary,Blue-collar,Self-Employed,Married,USA,False
304873,6,Own-child,White,Female,34095,0,32,<=50K,<25,10th,?,?,Single,USA,True
194901,7,Own-child,White,Male,0,0,40,<=50K,25-39,11th,Handlers-cleaners,Private,Single,USA,True
189265,9,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Local-gov,Single,USA,True
124692,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Handlers-cleaners,Private,Married,USA,False
432376,13,Other-relative,White,Male,0,0,40,<=50K,<25,HigherEd,Sales,Private,Single,USA,True
65324,15,Husband,White,Male,0,0,40,>50K,25-39,Prof-school,Prof-specialty,Private,Married,USA,False
335605,9,Husband,White,Male,0,1887,50,>50K,40-59,Secondary,Service,Self-Employed,Married,Other,False
377869,10,Wife,White,Female,4064,0,25,<=50K,25-39,Secondary,Sales,Private,Married,USA,False
102864,9,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,Machine-op-inspct,Private,Single,USA,False
95647,5,Husband,White,Male,0,0,50,<=50K,40-59,9th,Handlers-cleaners,Private,Married,USA,False
303090,10,Husband,White,Male,0,0,50,<=50K,40-59,Secondary,Sales,Self-Employed,Married,USA,False
197371,11,Husband,Black,Male,0,0,40,>50K,40-59,Assoc-voc,Blue-collar,Local-gov,Married,USA,False
247552,10,Husband,White,Male,0,0,56,<=50K,40-59,Secondary,Sales,Private,Married,USA,False
102632,9,Not-in-family,White,Male,0,0,41,<=50K,<25,Secondary,Blue-collar,Private,Single,USA,True
199915,10,Own-child,White,Female,0,0,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
118853,13,Husband,White,Male,0,0,60,<=50K,40-59,HigherEd,White-collar,Private,Married,USA,False
77143,13,Own-child,Black,Male,0,0,40,<=50K,25-39,HigherEd,White-collar,Private,Single,Other,True
267989,13,Husband,White,Male,0,0,50,>50K,25-39,HigherEd,Prof-specialty,Government,Married,USA,False
301606,10,Own-child,Black,Male,0,0,35,<=50K,<25,Secondary,Service,Private,Single,USA,False
287828,13,Wife,White,Female,0,0,40,>50K,40-59,HigherEd,White-collar,Private,Married,USA,False
111697,10,Own-child,White,Female,0,1719,28,<=50K,<25,Secondary,Adm-clerical,Private,Single,USA,True
114937,12,Husband,White,Male,0,0,40,>50K,25-39,Assoc-acdm,Adm-clerical,Private,Married,USA,False
129305,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,?,?,Married,USA,False
365739,10,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
69621,12,Not-in-family,White,Female,0,0,60,<=50K,25-39,Assoc-acdm,Sales,Private,Single,USA,False
43323,9,Not-in-family,White,Female,0,1762,40,<=50K,<25,Secondary,Service,Private,Single,USA,False
120985,9,Husband,White,Male,4386,0,35,<=50K,25-39,Secondary,Blue-collar,Self-Employed,Married,USA,False
254202,13,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Sales,Private,Married,USA,False
146195,12,Not-in-family,Black,Female,0,0,36,<=50K,40-59,Assoc-acdm,White-collar,Private,Separated,USA,False
125933,14,Husband,White,Male,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Government,Married,Other,False
56920,9,Husband,White,Male,0,0,60,<=50K,40-59,Secondary,Blue-collar,Self-Employed,Married,USA,False
163127,11,Wife,White,Female,0,0,35,<=50K,25-39,Assoc-voc,Adm-clerical,Private,Married,USA,False
34310,10,Own-child,White,Male,0,0,20,<=50K,<25,Secondary,Sales,Private,Single,USA,True
81973,10,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
66614,9,Husband,White,Male,0,0,40,<=50K,60+,Secondary,Blue-collar,Self-Employed,Married,USA,False
232782,10,Own-child,White,Female,0,0,40,<=50K,25-39,Secondary,Sales,Private,Single,USA,False
316868,10,Own-child,White,Male,0,0,30,<=50K,<25,Secondary,Service,Private,Single,Other,True
196584,11,Not-in-family,White,Female,0,1564,40,>50K,40-59,Assoc-voc,Prof-specialty,Private,Single,USA,False
105376,10,Other-relative,White,Male,0,0,40,<=50K,60+,Secondary,White-collar,Private,Single,USA,True
185814,9,Unmarried,Black,Female,0,0,30,<=50K,25-39,Secondary,Transport-moving,Private,Single,USA,False
175374,10,Husband,White,Male,0,0,24,<=50K,<25,Secondary,Service,Private,Married,USA,False
108293,9,Unmarried,White,Female,0,0,24,<=50K,25-39,Secondary,Service,Private,Widowed,USA,True
181232,7,Husband,White,Male,0,2179,40,<=50K,60+,11th,Blue-collar,Private,Married,USA,True
174662,10,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,?,?,Separated,USA,False
186009,10,Unmarried,White,Female,0,0,38,<=50K,40-59,Secondary,Adm-clerical,Local-gov,Separated,Other,True
198183,9,Not-in-family,White,Female,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Single,USA,False
163003,13,Other-relative,Asian-Pac-Islander,Female,0,0,40,<=50K,25-39,HigherEd,White-collar,Private,Single,Other,True
296158,9,Own-child,White,Male,0,0,35,<=50K,<25,Secondary,Blue-collar,Private,Single,USA,True
252903,9,Not-in-family,White,Male,0,0,45,>50K,40-59,Secondary,?,?,Separated,USA,False
187715,9,Husband,White,Male,0,0,46,<=50K,40-59,Secondary,Blue-collar,Private,Married,USA,False
214542,13,Not-in-family,White,Male,0,0,40,<=50K,<25,HigherEd,Handlers-cleaners,Private,Single,USA,True
494223,10,Unmarried,Black,Male,0,1816,2,<=50K,60+,Secondary,Sales,Self-Employed,Separated,USA,True
191535,9,Not-in-family,White,Male,0,0,60,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
228456,13,Other-relative,Black,Male,0,0,50,<=50K,40-59,HigherEd,Service,Private,Separated,USA,False
38317,2,Not-in-family,White,Female,0,0,20,<=50K,60+,1st-4th,?,?,Separated,USA,True
252752,9,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Service,Private,Single,USA,False
78374,14,Unmarried,Asian-Pac-Islander,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
88419,9,Not-in-family,Asian-Pac-Islander,Female,0,0,40,<=50K,25-39,Secondary,White-collar,Private,Single,Other,False
201080,14,Husband,White,Male,0,0,40,>50K,40-59,HigherEd,Sales,Self-Employed,Married,USA,False
207157,10,Unmarried,White,Female,0,0,40,<=50K,25-39,Secondary,Service,Private,Separated,Other,True
235485,12,Not-in-family,White,Male,0,0,42,<=50K,25-39,Assoc-acdm,White-collar,Government,Single,USA,True
102628,14,Unmarried,White,Male,0,0,40,<=50K,40-59,HigherEd,Protective-serv,Government,Widowed,USA,True
25828,7,Own-child,White,Male,0,0,16,<=50K,<25,11th,Handlers-cleaners,Private,Single,USA,True
54826,11,Not-in-family,White,Female,0,0,20,<=50K,60+,Assoc-voc,Prof-specialty,Local-gov,Widowed,USA,True
124953,9,Not-in-family,White,Male,0,1980,40,<=50K,25-39,Secondary,Service,Private,Single,USA,False
175325,9,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Protective-serv,Government,Married,USA,False
96062,10,Husband,White,Male,0,1977,40,>50K,40-59,Secondary,Sales,Private,Married,USA,False
428030,13,Not-in-family,White,Male,0,0,50,<=50K,25-39,HigherEd,Blue-collar,Private,Single,USA,False
149624,13,Husband,White,Male,0,0,40,>50K,25-39,HigherEd,Prof-specialty,Government,Married,USA,False
253814,9,Unmarried,White,Female,0,0,25,<=50K,25-39,Secondary,Sales,Private,Married-spouse-absent,USA,True
312956,9,Own-child,Black,Male,0,0,40,<=50K,<25,Secondary,Blue-collar,Private,Single,USA,True
483777,9,Not-in-family,Black,Male,0,0,40,<=50K,25-39,Secondary,Handlers-cleaners,Private,Single,USA,True
183930,9,Own-child,White,Male,0,0,12,<=50K,<25,Secondary,Service,Private,Single,USA,False
37274,13,Husband,White,Male,0,0,65,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
181344,10,Husband,Black,Male,0,0,38,>50K,40-59,Secondary,White-collar,Local-gov,Married,USA,False
114580,10,Not-in-family,White,Female,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Separated,USA,False
633742,10,Not-in-family,Black,Male,0,0,45,<=50K,25-39,Secondary,Blue-collar,Private,Single,USA,False
286370,4,Husband,White,Male,0,0,40,>50K,40-59,7th-8th,Machine-op-inspct,Private,Married,Other,False
29054,10,Husband,White,Male,0,0,42,>50K,25-39,Secondary,Adm-clerical,Government,Married,USA,False
304030,9,Husband,Black,Male,0,0,40,<=50K,25-39,Secondary,Adm-clerical,Private,Married,USA,False
143129,13,Not-in-family,White,Female,0,0,40,<=50K,40-59,HigherEd,White-collar,Self-Employed,Separated,USA,False
135105,13,Not-in-family,White,Female,0,0,50,<=50K,40-59,HigherEd,?,?,Separated,USA,True
99928,14,Wife,White,Female,0,0,50,<=50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
109567,16,Husband,White,Male,0,0,1,>50K,40-59,Doctorate,Prof-specialty,Government,Married,USA,False
155222,10,Not-in-family,Black,Female,0,0,28,<=50K,25-39,Secondary,Machine-op-inspct,Private,Separated,USA,False
159567,10,Husband,White,Male,0,0,40,<=50K,<25,Secondary,Machine-op-inspct,Private,Married,USA,False
523910,13,Husband,Black,Male,0,0,40,<=50K,40-59,HigherEd,Blue-collar,Local-gov,Married,USA,False
120939,10,Husband,White,Male,0,0,45,<=50K,40-59,Secondary,White-collar,Private,Married,USA,False
130760,13,Husband,White,Male,0,0,24,<=50K,40-59,HigherEd,White-collar,Government,Married,USA,False
197387,3,Other-relative,White,Male,0,0,40,<=50K,<25,5th-6th,Transport-moving,Private,Married,Other,True
99374,10,Not-in-family,White,Male,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
56795,14,Not-in-family,White,Female,14084,0,55,>50K,40-59,HigherEd,White-collar,Government,Single,USA,False
138992,14,Other-relative,White,Male,7298,0,40,>50K,25-39,HigherEd,Prof-specialty,Private,Married,USA,False
32921,9,Not-in-family,White,Male,0,0,40,<=50K,<25,Secondary,Sales,Self-Employed,Single,USA,False
397317,14,Not-in-family,White,Female,0,1876,40,<=50K,25-39,HigherEd,Prof-specialty,Private,Single,USA,False
170653,9,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,?,?,Single,Other,False
259323,13,Husband,White,Male,0,0,50,>50K,40-59,HigherEd,White-collar,Private,Married,USA,False
254817,10,Not-in-family,White,Female,0,1340,40,<=50K,40-59,Secondary,Prof-specialty,Local-gov,Single,USA,True
48211,9,Unmarried,White,Female,0,0,35,<=50K,25-39,Secondary,Adm-clerical,Government,Separated,USA,False
140164,7,Own-child,White,Female,0,0,40,<=50K,<25,11th,Sales,Private,Single,USA,True
128757,13,Husband,Black,Male,7298,0,36,>50K,25-39,HigherEd,Service,Private,Married,USA,False
36270,9,Not-in-family,White,Male,0,0,60,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
210563,9,Wife,White,Female,15024,0,35,>50K,40-59,Secondary,Sales,Self-Employed,Married,USA,False
65368,7,Own-child,White,Female,0,0,12,<=50K,<25,11th,Sales,Private,Single,USA,True
160943,9,Husband,Black,Male,0,0,40,<=50K,40-59,Secondary,Transport-moving,Local-gov,Married,USA,False
208358,9,Husband,White,Male,0,0,40,>50K,25-39,Secondary,Blue-collar,Private,Married,USA,False
153790,10,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,<=50K,25-39,Secondary,Sales,Private,Single,USA,False
85815,9,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,60+,Secondary,Blue-collar,Private,Married,USA,False
125417,4,Husband,White,Male,0,0,40,>50K,40-59,7th-8th,Machine-op-inspct,Self-Employed,Married,USA,True
635913,13,Not-in-family,Black,Male,0,0,60,>50K,25-39,HigherEd,White-collar,Private,Single,USA,False
313321,12,Not-in-family,White,Female,0,0,40,<=50K,40-59,Assoc-acdm,Sales,Private,Separated,USA,True
182609,13,Husband,White,Male,0,0,50,<=50K,25-39,HigherEd,Sales,Private,Married,Other,False
109434,13,Husband,White,Male,0,0,55,<=50K,40-59,HigherEd,Prof-specialty,Private,Married,USA,False
255004,6,Not-in-family,White,Male,0,0,40,<=50K,25-39,10th,Blue-collar,Private,Single,USA,True
197860,10,Husband,White,Male,0,0,40,<=50K,25-39,Secondary,Handlers-cleaners,Private,Married,USA,False
187656,2,Not-in-family,White,Male,0,0,40,<=50K,60+,1st-4th,?,?,Separated,USA,True
51744,9,Not-in-family,Black,Male,0,2206,40,<=50K,60+,Secondary,Service,Private,Single,USA,True
176681,9,Husband,Black,Male,0,0,20,<=50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
140359,1,Not-in-family,White,Female,0,0,35,<=50K,40-59,Preschool,Machine-op-inspct,Local-gov,Single,USA,True
243313,9,Own-child,White,Female,0,0,40,<=50K,<25,Secondary,Sales,Private,Single,USA,True
24215,6,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,<=50K,60+,10th,?,?,Separated,USA,True
167687,9,Husband,White,Male,1409,0,50,<=50K,60+,Secondary,Farming-fishing,Self-Employed,Married,USA,False
314209,11,Not-in-family,White,Female,0,0,20,<=50K,60+,Assoc-voc,Adm-clerical,Private,Widowed,Other,True
176796,9,Not-in-family,White,Female,0,0,40,<=50K,60+,Secondary,Adm-clerical,Private,Separated,USA,True
538583,7,Not-in-family,Black,Male,3674,0,40,<=50K,25-39,11th,Transport-moving,Private,Separated,USA,True
130408,9,Unmarried,Black,Female,0,0,38,<=50K,40-59,Secondary,Sales,Private,Separated,USA,False
159732,10,Not-in-family,White,Male,0,0,42,<=50K,25-39,Secondary,Adm-clerical,Private,Single,USA,False
110978,10,Other-relative,Other,Female,0,0,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
76714,15,Not-in-family,White,Male,0,0,55,>50K,25-39,Prof-school,Prof-specialty,Private,Single,USA,False
268700,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Service,Government,Married,USA,False
170525,10,Not-in-family,White,Female,0,0,38,<=50K,40-59,Secondary,Adm-clerical,Government,Single,USA,False
180138,13,Husband,White,Male,0,0,50,>50K,40-59,HigherEd,White-collar,Private,Married,Other,False
115076,14,Husband,White,Male,0,0,70,>50K,25-39,HigherEd,White-collar,Local-gov,Married,USA,False
115458,9,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,Transport-moving,Private,Single,USA,True
347890,13,Husband,White,Male,0,0,40,>50K,40-59,HigherEd,Prof-specialty,Private,Married,USA,False
196001,9,Wife,White,Female,0,0,20,<=50K,40-59,Secondary,Service,Self-Employed,Married,USA,False
273905,12,Husband,White,Male,0,0,50,<=50K,<25,Assoc-acdm,Protective-serv,Government,Married,USA,True
119156,10,Own-child,White,Male,0,0,20,<=50K,<25,Secondary,?,?,Single,USA,True
179488,10,Not-in-family,White,Male,0,1741,40,<=50K,25-39,Secondary,Blue-collar,Private,Separated,USA,False
203580,9,Husband,White,Male,0,0,35,<=50K,40-59,Secondary,Adm-clerical,Private,Married,Other,False
236596,9,Husband,White,Male,0,0,45,>50K,40-59,Secondary,Adm-clerical,Private,Married,USA,False
183916,9,Not-in-family,White,Female,0,0,34,<=50K,25-39,Secondary,Service,Private,Single,USA,False
207578,12,Husband,White,Male,0,1977,60,>50K,40-59,Assoc-acdm,White-collar,Private,Married,USA,False
153141,9,Husband,White,Male,0,0,40,<=50K,40-59,Secondary,Adm-clerical,Private,Married,Other,False
112763,15,Wife,White,Female,0,0,40,>50K,40-59,Prof-school,Prof-specialty,Private,Married,USA,False
390781,13,Wife,Black,Female,0,0,40,<=50K,40-59,HigherEd,Adm-clerical,Private,Married,USA,False
171328,6,Unmarried,Black,Female,0,0,30,<=50K,40-59,10th,Service,Local-gov,Widowed,USA,True
27382,10,Own-child,White,Male,0,0,40,<=50K,<25,Secondary,Adm-clerical,Local-gov,Single,USA,True
259014,10,Not-in-family,White,Male,0,0,20,<=50K,40-59,Secondary,Transport-moving,Private,Single,USA,True
