age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
41-60,Employed,193366,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,40,North America,<=50K
0-25,Government,190709,High,12,Single,Protective-serv,Not-in-family,White,Male,0,0,52,North America,<=50K
0-25,Employed,266015,High,10,Single,Sales,Own-child,Black,Male,0,0,44,North America,<=50K
41-60,Employed,386940,Higher,13,Separated,Exec-managerial,Own-child,White,Male,0,1408,40,North America,<=50K
26-40,Government,59951,High,10,Married,Adm-clerical,Own-child,White,Male,0,0,40,North America,<=50K
0-25,Government,311512,High,10,Married,Other-service,Husband,Black,Male,0,0,15,North America,<=50K
41-60,Employed,242406,Middle,7,Single,Machine-op-inspct,Unmarried,White,Male,0,0,40,Other,<=50K
0-25,Employed,197200,High,10,Single,Machine-op-inspct,Own-child,White,Male,0,0,40,North America,<=50K
0-25,Employed,544091,Middle,9,Married,Adm-clerical,Wife,White,Female,0,0,25,North America,<=50K
26-40,Employed,84154,High,10,Married,Sales,Husband,White,Male,0,0,38,Other,>50K
41-60,Self-Employed,265477,High,12,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,507875,Middle,5,Married,Machine-op-inspct,Husband,White,Male,0,0,43,North America,<=50K
41-60,Self-Employed,88506,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,<=50K
0-25,Employed,172987,Higher,13,Married,Tech-support,Husband,White,Male,0,0,50,North America,<=50K
41-60,Employed,94638,Middle,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,North America,<=50K
0-25,Employed,289980,Middle,9,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,35,North America,<=50K
41-60,Government,337895,Higher,13,Married,Prof-specialty,Husband,Black,Male,0,0,40,North America,>50K
41-60,Employed,144361,Middle,9,Married,Machine-op-inspct,Husband,White,Male,0,0,38,North America,<=50K
41-60,Employed,128354,Higher,14,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,North America,<=50K
41-60,Government,101603,High,11,Married,Craft-repair,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,271466,High,11,Single,Prof-specialty,Not-in-family,White,Male,0,0,43,North America,<=50K
0-25,Employed,32275,High,10,Married,Exec-managerial,Wife,Other,Female,0,0,40,North America,<=50K
0-25,Employed,226956,Middle,9,Single,Other-service,Own-child,White,Female,0,0,30,Other,<=50K
41-60,Employed,51835,Higher,15,Married,Prof-specialty,Wife,White,Female,0,1902,60,Other,>50K
41-60,Government,251585,Higher,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,55,North America,>50K
41-60,Self-Employed,109832,Middle,9,Separated,Exec-managerial,Not-in-family,White,Male,0,0,60,North America,<=50K
41-60,Employed,237993,High,10,Married,Tech-support,Husband,White,Male,0,0,40,North America,>50K
41-60,Employed,216666,Low,3,Married,Machine-op-inspct,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,56352,High,11,Married,Other-service,Husband,White,Male,0,0,40,Other,<=50K
41-60,Employed,147372,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,48,North America,<=50K
26-40,Employed,188146,Middle,9,Married,Machine-op-inspct,Husband,White,Male,5013,0,40,North America,<=50K
26-40,Employed,59496,Higher,13,Married,Sales,Husband,White,Male,2407,0,40,North America,<=50K
41-60,Employed,149640,Middle,9,Married,Transport-moving,Husband,White,Male,0,0,40,North America,<=50K
41-60,Employed,116632,Higher,16,Married,Prof-specialty,Husband,White,Male,0,0,45,North America,>50K
26-40,Employed,105598,High,10,Separated,Tech-support,Not-in-family,White,Male,0,0,58,North America,<=50K
26-40,Employed,155537,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,183175,High,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,<=50K
41-60,Employed,169846,Middle,9,Married,Adm-clerical,Wife,White,Female,0,0,40,North America,>50K
41-60,Self-Employed,191681,High,10,Married,Exec-managerial,Husband,White,Male,0,0,50,North America,>50K
0-25,?,200681,High,10,Single,?,Own-child,White,Male,0,0,40,North America,<=50K
0-25,Employed,101509,High,10,Single,Prof-specialty,Own-child,White,Male,0,0,32,North America,<=50K
26-40,Employed,309974,Higher,13,Separated,Sales,Own-child,Black,Female,0,0,40,North America,<=50K
26-40,Self-Employed,162298,Higher,13,Married,Sales,Husband,White,Male,0,0,70,North America,>50K
0-25,Employed,211678,High,10,Single,Machine-op-inspct,Not-in-family,White,Male,0,0,40,North America,<=50K
61-100,Employed,124744,High,10,Married,Prof-specialty,Other-relative,White,Male,0,0,20,North America,<=50K
26-40,Employed,213921,Middle,9,Single,Other-service,Own-child,White,Male,0,0,40,North America,<=50K
26-40,Employed,32214,High,12,Married,Adm-clerical,Husband,White,Male,0,0,40,North America,<=50K
61-100,?,212759,Middle,6,Married,?,Husband,White,Male,0,0,2,North America,<=50K
0-25,Employed,309634,Middle,7,Single,Other-service,Own-child,White,Female,0,0,22,North America,<=50K
26-40,Government,125927,Low,4,Married,Farming-fishing,Husband,White,Male,0,0,40,North America,<=50K
0-25,Employed,446839,Middle,9,Single,Sales,Not-in-family,White,Male,0,0,30,North America,<=50K
41-60,Employed,276515,Higher,13,Married,Other-service,Husband,White,Male,0,0,40,Other,<=50K
41-60,Employed,51618,Middle,9,Married,Other-service,Wife,White,Female,0,0,40,North America,<=50K
41-60,Employed,159937,Middle,9,Married,Sales,Husband,White,Male,0,0,48,North America,<=50K
41-60,Employed,343591,Middle,9,Separated,Craft-repair,Not-in-family,White,Female,14344,0,40,North America,>50K
41-60,Employed,346253,Middle,9,Separated,Sales,Own-child,White,Female,0,0,35,North America,<=50K
41-60,Government,268234,Middle,9,Married,Protective-serv,Husband,White,Male,0,0,40,North America,>50K
26-40,Employed,202051,Higher,14,Married,Prof-specialty,Husband,White,Male,0,0,50,North America,<=50K
26-40,Employed,54334,Middle,5,Single,Sales,Not-in-family,White,Male,0,0,40,North America,<=50K
41-60,Government,410867,Higher,16,Single,Prof-specialty,Not-in-family,White,Female,0,0,50,North America,>50K
41-60,Employed,249977,High,11,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,286730,High,10,Separated,Craft-repair,Unmarried,White,Female,0,0,40,North America,<=50K
26-40,Employed,212563,High,10,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,25,North America,<=50K
26-40,Employed,117747,Middle,9,Married,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,Other,<=50K
26-40,Government,226296,Higher,13,Married,Protective-serv,Husband,White,Male,0,0,40,North America,>50K
26-40,Government,115585,High,10,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,50,North America,<=50K
41-60,Self-Employed,191277,Higher,16,Married,Prof-specialty,Husband,White,Male,0,1902,60,North America,>50K
26-40,Employed,202683,High,10,Married,Sales,Husband,White,Male,0,0,48,North America,>50K
41-60,Employed,171095,High,12,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,Europe,<=50K
26-40,Government,249409,Middle,9,Single,Other-service,Own-child,Black,Male,0,0,40,North America,<=50K
61-100,Employed,124191,Higher,14,Married,Exec-managerial,Husband,White,Male,0,0,40,North America,>50K
41-60,Employed,198282,Higher,13,Married,Exec-managerial,Husband,White,Male,15024,0,60,North America,>50K
41-60,Self-Employed,149116,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,0,0,50,North America,<=50K
0-25,Employed,188300,High,10,Single,Tech-support,Own-child,White,Female,0,0,40,North America,<=50K
26-40,Employed,103432,Middle,9,Single,Craft-repair,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Self-Employed,317660,Middle,9,Married,Craft-repair,Husband,White,Male,7688,0,40,North America,>50K
0-25,?,304873,Middle,6,Single,?,Own-child,White,Female,34095,0,32,North America,<=50K
26-40,Employed,194901,Middle,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,40,North America,<=50K
26-40,Government,189265,Middle,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,<=50K
41-60,Employed,124692,Middle,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,North America,<=50K
0-25,Employed,432376,Higher,13,Single,Sales,Other-relative,White,Male,0,0,40,North America,<=50K
26-40,Employed,65324,Higher,15,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,>50K
41-60,Self-Employed,335605,Middle,9,Married,Other-service,Husband,White,Male,0,1887,50,North America,>50K
26-40,Employed,377869,High,10,Married,Sales,Wife,White,Female,4064,0,25,North America,<=50K
26-40,Employed,102864,Middle,9,Single,Machine-op-inspct,Own-child,White,Female,0,0,40,North America,<=50K
41-60,Employed,95647,Middle,5,Married,Handlers-cleaners,Husband,White,Male,0,0,50,North America,<=50K
41-60,Self-Employed,303090,High,10,Married,Sales,Husband,White,Male,0,0,50,North America,<=50K
41-60,Government,197371,High,11,Married,Craft-repair,Husband,Black,Male,0,0,40,North America,>50K
41-60,Employed,247552,High,10,Married,Sales,Husband,White,Male,0,0,56,North America,<=50K
0-25,Employed,102632,Middle,9,Single,Craft-repair,Not-in-family,White,Male,0,0,41,North America,<=50K
0-25,Employed,199915,High,10,Single,Other-service,Own-child,White,Female,0,0,40,North America,<=50K
26-40,Employed,118853,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,60,North America,<=50K
26-40,Employed,77143,Higher,13,Single,Exec-managerial,Own-child,Black,Male,0,0,40,Europe,<=50K
26-40,Government,267989,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,50,North America,>50K
0-25,Employed,301606,High,10,Single,Other-service,Own-child,Black,Male,0,0,35,North America,<=50K
41-60,Employed,287828,Higher,13,Married,Exec-managerial,Wife,White,Female,0,0,40,North America,>50K
0-25,Employed,111697,High,10,Single,Adm-clerical,Own-child,White,Female,0,1719,28,North America,<=50K
26-40,Employed,114937,High,12,Married,Adm-clerical,Husband,White,Male,0,0,40,North America,>50K
26-40,?,129305,Middle,9,Married,?,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,365739,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Employed,69621,High,12,Single,Sales,Not-in-family,White,Female,0,0,60,North America,<=50K
0-25,Employed,43323,Middle,9,Single,Other-service,Not-in-family,White,Female,0,1762,40,North America,<=50K
26-40,Self-Employed,120985,Middle,9,Married,Craft-repair,Husband,White,Male,4386,0,35,North America,<=50K
26-40,Employed,254202,Higher,13,Married,Sales,Husband,White,Male,0,0,50,North America,<=50K
41-60,Employed,146195,High,12,Separated,Tech-support,Not-in-family,Black,Female,0,0,36,North America,<=50K
26-40,Government,125933,Higher,14,Married,Prof-specialty,Husband,White,Male,0,0,40,Other,>50K
41-60,Self-Employed,56920,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,60,North America,<=50K
26-40,Employed,163127,High,11,Married,Adm-clerical,Wife,White,Female,0,0,35,North America,<=50K
0-25,Employed,34310,High,10,Single,Sales,Own-child,White,Male,0,0,20,North America,<=50K
41-60,Employed,81973,High,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,North America,>50K
61-100,Self-Employed,66614,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,40,North America,<=50K
26-40,Employed,232782,High,10,Single,Sales,Own-child,White,Female,0,0,40,North America,<=50K
0-25,Employed,316868,High,10,Single,Other-service,Own-child,White,Male,0,0,30,North America,<=50K
41-60,Employed,196584,High,11,Single,Prof-specialty,Not-in-family,White,Female,0,1564,40,North America,>50K
61-100,Employed,105376,High,10,Single,Tech-support,Other-relative,White,Male,0,0,40,North America,<=50K
26-40,Employed,185814,Middle,9,Single,Transport-moving,Unmarried,Black,Female,0,0,30,North America,<=50K
0-25,Employed,175374,High,10,Married,Other-service,Husband,White,Male,0,0,24,North America,<=50K
26-40,Employed,108293,Middle,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,North America,<=50K
61-100,Employed,181232,Middle,7,Married,Craft-repair,Husband,White,Male,0,2179,40,North America,<=50K
41-60,?,174662,High,10,Separated,?,Not-in-family,White,Female,0,0,40,North America,<=50K
41-60,Government,186009,High,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,North America,<=50K
26-40,Employed,198183,Middle,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,<=50K
26-40,Employed,163003,Higher,13,Single,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Asia,<=50K
0-25,Employed,296158,Middle,9,Single,Craft-repair,Own-child,White,Male,0,0,35,North America,<=50K
41-60,?,252903,Middle,9,Separated,?,Not-in-family,White,Male,0,0,45,North America,>50K
41-60,Employed,187715,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,46,North America,<=50K
0-25,Employed,214542,Higher,13,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Employed,191535,Middle,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,60,North America,<=50K
41-60,Employed,228456,Higher,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,North America,<=50K
61-100,?,38317,Low,2,Separated,?,Not-in-family,White,Female,0,0,20,North America,<=50K
0-25,Employed,252752,Middle,9,Single,Other-service,Unmarried,White,Female,0,0,40,North America,<=50K
41-60,Self-Employed,78374,Higher,14,Separated,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,North America,<=50K
26-40,Employed,88419,Middle,9,Single,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Europe,<=50K
41-60,Self-Employed,201080,Higher,14,Married,Sales,Husband,White,Male,0,0,40,North America,>50K
26-40,Employed,207157,High,10,Separated,Other-service,Unmarried,White,Female,0,0,40,North America,<=50K
26-40,Government,235485,High,12,Single,Exec-managerial,Not-in-family,White,Male,0,0,42,North America,<=50K
41-60,Government,102628,Higher,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,North America,<=50K
0-25,Employed,25828,Middle,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,16,North America,<=50K
61-100,Government,54826,High,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,North America,<=50K
26-40,Employed,124953,Middle,9,Single,Other-service,Not-in-family,White,Male,0,1980,40,North America,<=50K
26-40,Government,175325,Middle,9,Married,Protective-serv,Husband,White,Male,0,0,40,North America,<=50K
41-60,Employed,96062,High,10,Married,Sales,Husband,White,Male,0,1977,40,North America,>50K
26-40,Employed,428030,Higher,13,Single,Craft-repair,Not-in-family,White,Male,0,0,50,North America,<=50K
26-40,Government,149624,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,>50K
26-40,Employed,253814,Middle,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,North America,<=50K
0-25,Employed,312956,Middle,9,Single,Craft-repair,Own-child,Black,Male,0,0,40,North America,<=50K
26-40,Employed,483777,Middle,9,Single,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,North America,<=50K
0-25,Employed,183930,Middle,9,Single,Other-service,Own-child,White,Male,0,0,12,North America,<=50K
26-40,Employed,37274,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,65,North America,<=50K
41-60,Government,181344,High,10,Married,Exec-managerial,Husband,Black,Male,0,0,38,North America,>50K
41-60,Employed,114580,High,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,<=50K
26-40,Employed,633742,High,10,Single,Craft-repair,Not-in-family,Black,Male,0,0,45,North America,<=50K
26-40,Employed,286370,Low,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,North America,>50K
26-40,Government,29054,High,10,Married,Adm-clerical,Husband,White,Male,0,0,42,North America,>50K
26-40,Employed,304030,Middle,9,Married,Adm-clerical,Husband,Black,Male,0,0,40,North America,<=50K
41-60,Self-Employed,143129,Higher,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,North America,<=50K
41-60,?,135105,Higher,13,Separated,?,Not-in-family,White,Female,0,0,50,North America,<=50K
26-40,Employed,99928,Higher,14,Married,Prof-specialty,Wife,White,Female,0,0,50,North America,<=50K
41-60,Government,109567,Higher,16,Married,Prof-specialty,Husband,White,Male,0,0,1,North America,>50K
26-40,Employed,155222,High,10,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,North America,<=50K
0-25,Employed,159567,High,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,North America,<=50K
41-60,Government,523910,Higher,13,Married,Craft-repair,Husband,Black,Male,0,0,40,North America,<=50K
41-60,Employed,120939,High,10,Married,Tech-support,Husband,White,Male,0,0,45,North America,<=50K
41-60,Government,130760,Higher,13,Married,Tech-support,Husband,White,Male,0,0,24,North America,<=50K
0-25,Employed,197387,Low,3,Married,Transport-moving,Other-relative,White,Male,0,0,40,North America,<=50K
26-40,Employed,99374,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Government,56795,Higher,14,Single,Exec-managerial,Not-in-family,White,Female,14084,0,55,North America,>50K
26-40,Employed,138992,Higher,14,Married,Prof-specialty,Other-relative,White,Male,7298,0,40,North America,>50K
0-25,Self-Employed,32921,Middle,9,Single,Sales,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Employed,397317,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,0,1876,40,North America,<=50K
0-25,?,170653,Middle,9,Single,?,Own-child,White,Male,0,0,40,Europe,<=50K
41-60,Employed,259323,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,50,North America,>50K
41-60,Government,254817,High,10,Single,Prof-specialty,Not-in-family,White,Female,0,1340,40,North America,<=50K
26-40,Government,48211,Middle,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,35,North America,<=50K
0-25,Employed,140164,Middle,7,Single,Sales,Own-child,White,Female,0,0,40,North America,<=50K
26-40,Employed,128757,Higher,13,Married,Other-service,Husband,Black,Male,7298,0,36,North America,>50K
26-40,Employed,36270,Middle,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,60,North America,<=50K
41-60,Self-Employed,210563,Middle,9,Married,Sales,Wife,White,Female,15024,0,35,North America,>50K
0-25,Employed,65368,Middle,7,Single,Sales,Own-child,White,Female,0,0,12,North America,<=50K
41-60,Government,160943,Middle,9,Married,Transport-moving,Husband,Black,Male,0,0,40,North America,<=50K
26-40,Employed,208358,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,40,North America,>50K
41-60,Employed,85815,Middle,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,North America,<=50K
41-60,Self-Employed,125417,Low,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,North America,>50K
26-40,Employed,635913,Higher,13,Single,Exec-managerial,Not-in-family,Black,Male,0,0,60,North America,>50K
41-60,Employed,313321,High,12,Separated,Sales,Not-in-family,White,Female,0,0,40,North America,<=50K
26-40,Employed,182609,Higher,13,Married,Sales,Husband,White,Male,0,0,50,Other,<=50K
41-60,Employed,109434,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,55,North America,<=50K
0-25,Employed,255004,Middle,6,Single,Craft-repair,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Employed,197860,High,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,North America,<=50K
61-100,?,187656,Low,2,Separated,?,Not-in-family,White,Male,0,0,40,North America,<=50K
41-60,Employed,176681,Middle,9,Married,Adm-clerical,Husband,Black,Male,0,0,20,North America,<=50K
41-60,Government,140359,Low,1,Single,Machine-op-inspct,Not-in-family,White,Female,0,0,35,North America,<=50K
0-25,Employed,243313,Middle,9,Single,Sales,Own-child,White,Female,0,0,40,North America,<=50K
41-60,?,24215,Middle,6,Separated,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,North America,<=50K
61-100,Self-Employed,167687,Middle,9,Married,Farming-fishing,Husband,White,Male,1409,0,50,North America,<=50K
61-100,Employed,314209,High,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,South America,<=50K
61-100,Employed,176796,Middle,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,<=50K
26-40,Employed,538583,Middle,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,North America,<=50K
41-60,Employed,130408,Middle,9,Separated,Sales,Unmarried,Black,Female,0,0,38,North America,<=50K
0-25,Employed,159732,High,10,Single,Adm-clerical,Not-in-family,White,Male,0,0,42,North America,<=50K
26-40,Employed,110978,High,10,Separated,Craft-repair,Other-relative,Other,Female,0,0,40,North America,<=50K
26-40,Employed,76714,Higher,15,Single,Prof-specialty,Not-in-family,White,Male,0,0,55,North America,>50K
41-60,Government,268700,Middle,9,Married,Other-service,Husband,White,Male,0,0,40,North America,<=50K
26-40,Government,170525,High,10,Single,Adm-clerical,Not-in-family,White,Female,0,0,38,North America,<=50K
41-60,Employed,180138,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,50,Other,>50K
26-40,Government,115076,Higher,14,Married,Exec-managerial,Husband,White,Male,0,0,70,North America,>50K
0-25,Employed,115458,Middle,9,Single,Transport-moving,Own-child,White,Male,0,0,40,North America,<=50K
26-40,Employed,347890,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,40,North America,>50K
41-60,Self-Employed,196001,Middle,9,Married,Other-service,Wife,White,Female,0,0,20,North America,<=50K
0-25,Government,273905,High,12,Married,Protective-serv,Husband,White,Male,0,0,50,North America,<=50K
0-25,?,119156,High,10,Single,?,Own-child,White,Male,0,0,20,North America,<=50K
26-40,Employed,179488,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,1741,40,North America,<=50K
41-60,Employed,203580,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,35,Other,<=50K
41-60,Employed,236596,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,45,North America,>50K
26-40,Employed,183916,Middle,9,Single,Other-service,Not-in-family,White,Female,0,0,34,North America,<=50K
26-40,Employed,207578,High,12,Married,Tech-support,Husband,White,Male,0,1977,60,North America,>50K
41-60,Employed,153141,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,40,Other,<=50K
41-60,Employed,112763,Higher,15,Married,Prof-specialty,Wife,White,Female,0,0,40,North America,>50K
41-60,Employed,390781,Higher,13,Married,Adm-clerical,Wife,Black,Female,0,0,40,North America,<=50K
41-60,Government,171328,Middle,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,North America,<=50K
0-25,Government,27382,High,10,Single,Adm-clerical,Own-child,White,Male,0,0,40,North America,<=50K
41-60,Employed,259014,High,10,Single,Transport-moving,Not-in-family,White,Male,0,0,20,North America,<=50K
41-60,Self-Employed,303044,Middle,9,Married,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Other,>50K
0-25,Employed,117789,Middle,9,Single,Other-service,Own-child,White,Female,0,0,40,North America,<=50K
26-40,Employed,172579,Middle,9,Separated,Other-service,Not-in-family,White,Female,0,0,30,North America,<=50K
41-60,Employed,187666,High,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,North America,<=50K
41-60,Employed,204518,Low,4,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,North America,<=50K
26-40,Employed,150042,Higher,13,Separated,Prof-specialty,Own-child,White,Female,0,0,40,North America,<=50K
41-60,Employed,98092,Middle,9,Married,Sales,Husband,White,Male,0,0,60,North America,<=50K
0-25,Employed,245918,Middle,7,Single,Other-service,Own-child,White,Male,0,0,12,North America,<=50K
41-60,Employed,146013,High,10,Married,Sales,Husband,White,Male,4064,0,40,North America,<=50K
26-40,Employed,378322,Middle,7,Married,Craft-repair,Husband,White,Male,0,0,40,North America,<=50K
26-40,Self-Employed,257295,High,10,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Other,>50K
0-25,?,218956,High,10,Single,?,Own-child,White,Male,0,0,24,North America,<=50K
61-100,Employed,21174,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,40,North America,>50K
26-40,Employed,185480,Higher,13,Single,Prof-specialty,Not-in-family,White,Female,0,0,45,North America,<=50K
26-40,Employed,222205,Middle,9,Married,Craft-repair,Wife,White,Female,0,0,40,North America,>50K
61-100,Employed,69867,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,40,North America,>50K
0-25,Employed,191260,Middle,5,Single,Other-service,Own-child,White,Male,1055,0,24,North America,<=50K
41-60,Self-Employed,30653,Higher,14,Married,Farming-fishing,Husband,White,Male,2407,0,98,North America,<=50K
26-40,Government,209109,Higher,14,Single,Prof-specialty,Own-child,White,Male,0,0,35,North America,<=50K
26-40,Employed,70377,Middle,9,Separated,Prof-specialty,Own-child,White,Female,0,0,40,North America,<=50K
