age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
41-60,Self-Employed,109832,Middle,9,Separated,Exec-managerial,Not-in-family,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,237993,High,10,Married,Tech-support,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Employed,216666,Low,3,Married,Machine-op-inspct,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,147372,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,188146,Middle,9,Married,Machine-op-inspct,Husband,White,Male,5013,0,21-40,North America,<=50K
26-40,Employed,59496,Higher,13,Married,Sales,Husband,White,Male,2407,0,21-40,North America,<=50K
41-60,Employed,149640,Middle,9,Married,Transport-moving,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,116632,Higher,16,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Employed,155537,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,183175,High,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,169846,Middle,9,Married,Adm-clerical,Wife,White,Female,0,0,21-40,North America,>50K
41-60,Self-Employed,191681,High,10,Married,Exec-managerial,Husband,White,Male,0,0,41-60,North America,>50K
0-25,?,200681,High,10,Single,?,Own-child,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,101509,High,10,Single,Prof-specialty,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Self-Employed,162298,Higher,13,Married,Sales,Husband,White,Male,0,0,61-100,North America,>50K
0-25,Employed,211678,High,10,Single,Machine-op-inspct,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,213921,Middle,9,Single,Other-service,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,32214,High,12,Married,Adm-clerical,Husband,White,Male,0,0,21-40,North America,<=50K
61-100,?,212759,Middle,6,Married,?,Husband,White,Male,0,0,0-20,North America,<=50K
0-25,Employed,309634,Middle,7,Single,Other-service,Own-child,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,446839,Middle,9,Single,Sales,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,51618,Middle,9,Married,Other-service,Wife,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,159937,Middle,9,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,343591,Middle,9,Separated,Craft-repair,Not-in-family,White,Female,14344,0,21-40,North America,>50K
41-60,Employed,346253,Middle,9,Separated,Sales,Own-child,White,Female,0,0,21-40,North America,<=50K
41-60,Government,268234,Middle,9,Married,Protective-serv,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Employed,202051,Higher,14,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,54334,Middle,5,Single,Sales,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Government,410867,Higher,16,Single,Prof-specialty,Not-in-family,White,Female,0,0,41-60,North America,>50K
41-60,Employed,249977,High,11,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,286730,High,10,Separated,Craft-repair,Unmarried,White,Female,0,0,21-40,North America,<=50K
26-40,Government,226296,Higher,13,Married,Protective-serv,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Self-Employed,191277,Higher,16,Married,Prof-specialty,Husband,White,Male,0,1902,41-60,North America,>50K
26-40,Employed,202683,High,10,Married,Sales,Husband,White,Male,0,0,41-60,North America,>50K
61-100,Employed,124191,Higher,14,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Employed,198282,Higher,13,Married,Exec-managerial,Husband,White,Male,15024,0,41-60,North America,>50K
41-60,Self-Employed,149116,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,0,0,41-60,North America,<=50K
0-25,Employed,188300,High,10,Single,Tech-support,Own-child,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,103432,Middle,9,Single,Craft-repair,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Self-Employed,317660,Middle,9,Married,Craft-repair,Husband,White,Male,7688,0,21-40,North America,>50K
0-25,?,304873,Middle,6,Single,?,Own-child,White,Female,34095,0,21-40,North America,<=50K
26-40,Employed,194901,Middle,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Government,189265,Middle,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,124692,Middle,9,Married,Handlers-cleaners,Husband,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,432376,Higher,13,Single,Sales,Other-relative,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,65324,Higher,15,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Self-Employed,335605,Middle,9,Married,Other-service,Husband,White,Male,0,1887,41-60,North America,>50K
26-40,Employed,377869,High,10,Married,Sales,Wife,White,Female,4064,0,21-40,North America,<=50K
26-40,Employed,102864,Middle,9,Single,Machine-op-inspct,Own-child,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,95647,Middle,5,Married,Handlers-cleaners,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Self-Employed,303090,High,10,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,247552,High,10,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,102632,Middle,9,Single,Craft-repair,Not-in-family,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,199915,High,10,Single,Other-service,Own-child,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,118853,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Government,267989,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,>50K
0-25,Employed,301606,High,10,Single,Other-service,Own-child,Black,Male,0,0,21-40,North America,<=50K
41-60,Employed,287828,Higher,13,Married,Exec-managerial,Wife,White,Female,0,0,21-40,North America,>50K
0-25,Employed,111697,High,10,Single,Adm-clerical,Own-child,White,Female,0,1719,21-40,North America,<=50K
26-40,Employed,114937,High,12,Married,Adm-clerical,Husband,White,Male,0,0,21-40,North America,>50K
26-40,?,129305,Middle,9,Married,?,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,365739,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,69621,High,12,Single,Sales,Not-in-family,White,Female,0,0,41-60,North America,<=50K
0-25,Employed,43323,Middle,9,Single,Other-service,Not-in-family,White,Female,0,1762,21-40,North America,<=50K
26-40,Self-Employed,120985,Middle,9,Married,Craft-repair,Husband,White,Male,4386,0,21-40,North America,<=50K
26-40,Employed,254202,Higher,13,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Government,125933,Higher,14,Married,Prof-specialty,Husband,White,Male,0,0,21-40,Other,>50K
41-60,Self-Employed,56920,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,163127,High,11,Married,Adm-clerical,Wife,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,34310,High,10,Single,Sales,Own-child,White,Male,0,0,0-20,North America,<=50K
61-100,Self-Employed,66614,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,232782,High,10,Single,Sales,Own-child,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,316868,High,10,Single,Other-service,Own-child,White,Male,0,0,21-40,North America,<=50K
61-100,Employed,181232,Middle,7,Married,Craft-repair,Husband,White,Male,0,2179,21-40,North America,<=50K
41-60,?,174662,High,10,Separated,?,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Government,186009,High,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,198183,Middle,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,296158,Middle,9,Single,Craft-repair,Own-child,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,187715,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,214542,Higher,13,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,191535,Middle,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,252752,Middle,9,Single,Other-service,Unmarried,White,Female,0,0,21-40,North America,<=50K
41-60,Self-Employed,201080,Higher,14,Married,Sales,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Employed,207157,High,10,Separated,Other-service,Unmarried,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,25828,Middle,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,0-20,North America,<=50K
26-40,Employed,124953,Middle,9,Single,Other-service,Not-in-family,White,Male,0,1980,21-40,North America,<=50K
26-40,Government,175325,Middle,9,Married,Protective-serv,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,96062,High,10,Married,Sales,Husband,White,Male,0,1977,21-40,North America,>50K
26-40,Employed,428030,Higher,13,Single,Craft-repair,Not-in-family,White,Male,0,0,41-60,North America,<=50K
26-40,Government,149624,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,>50K
0-25,Employed,312956,Middle,9,Single,Craft-repair,Own-child,Black,Male,0,0,21-40,North America,<=50K
26-40,Employed,483777,Middle,9,Single,Handlers-cleaners,Not-in-family,Black,Male,0,0,21-40,North America,<=50K
0-25,Employed,183930,Middle,9,Single,Other-service,Own-child,White,Male,0,0,0-20,North America,<=50K
26-40,Employed,37274,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,61-100,North America,<=50K
41-60,Government,181344,High,10,Married,Exec-managerial,Husband,Black,Male,0,0,21-40,North America,>50K
41-60,Employed,114580,High,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,286370,Low,4,Married,Machine-op-inspct,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Government,29054,High,10,Married,Adm-clerical,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Employed,99928,Higher,14,Married,Prof-specialty,Wife,White,Female,0,0,41-60,North America,<=50K
0-25,Employed,159567,High,10,Married,Machine-op-inspct,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,120939,High,10,Married,Tech-support,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Government,130760,Higher,13,Married,Tech-support,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,99374,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,138992,Higher,14,Married,Prof-specialty,Other-relative,White,Male,7298,0,21-40,North America,>50K
26-40,Employed,397317,Higher,14,Single,Prof-specialty,Not-in-family,White,Female,0,1876,21-40,North America,<=50K
41-60,Employed,259323,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Government,48211,Middle,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,140164,Middle,7,Single,Sales,Own-child,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,36270,Middle,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,41-60,North America,<=50K
41-60,Self-Employed,210563,Middle,9,Married,Sales,Wife,White,Female,15024,0,21-40,North America,>50K
0-25,Employed,65368,Middle,7,Single,Sales,Own-child,White,Female,0,0,0-20,North America,<=50K
41-60,Government,160943,Middle,9,Married,Transport-moving,Husband,Black,Male,0,0,21-40,North America,<=50K
26-40,Employed,208358,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Employed,313321,High,12,Separated,Sales,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,109434,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,255004,Middle,6,Single,Craft-repair,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,197860,High,10,Married,Handlers-cleaners,Husband,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,243313,Middle,9,Single,Sales,Own-child,White,Female,0,0,21-40,North America,<=50K
61-100,Self-Employed,167687,Middle,9,Married,Farming-fishing,Husband,White,Male,1409,0,41-60,North America,<=50K
0-25,Employed,159732,High,10,Single,Adm-clerical,Not-in-family,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,76714,Higher,15,Single,Prof-specialty,Not-in-family,White,Male,0,0,41-60,North America,>50K
41-60,Government,268700,Middle,9,Married,Other-service,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Government,170525,High,10,Single,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,180138,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,41-60,Other,>50K
0-25,Employed,115458,Middle,9,Single,Transport-moving,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,347890,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,>50K
0-25,?,119156,High,10,Single,?,Own-child,White,Male,0,0,0-20,North America,<=50K
26-40,Employed,179488,High,10,Separated,Craft-repair,Not-in-family,White,Male,0,1741,21-40,North America,<=50K
41-60,Employed,236596,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Employed,183916,Middle,9,Single,Other-service,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,207578,High,12,Married,Tech-support,Husband,White,Male,0,1977,41-60,North America,>50K
41-60,Employed,112763,Higher,15,Married,Prof-specialty,Wife,White,Female,0,0,21-40,North America,>50K
0-25,Government,27382,High,10,Single,Adm-clerical,Own-child,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,117789,Middle,9,Single,Other-service,Own-child,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,172579,Middle,9,Separated,Other-service,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,150042,Higher,13,Separated,Prof-specialty,Own-child,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,98092,Middle,9,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,245918,Middle,7,Single,Other-service,Own-child,White,Male,0,0,0-20,North America,<=50K
41-60,Employed,146013,High,10,Married,Sales,Husband,White,Male,4064,0,21-40,North America,<=50K
26-40,Employed,378322,Middle,7,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
0-25,?,218956,High,10,Single,?,Own-child,White,Male,0,0,21-40,North America,<=50K
61-100,Employed,21174,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Employed,185480,Higher,13,Single,Prof-specialty,Not-in-family,White,Female,0,0,41-60,North America,<=50K
61-100,Employed,69867,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,>50K
0-25,Employed,191260,Middle,5,Single,Other-service,Own-child,White,Male,1055,0,21-40,North America,<=50K
41-60,Self-Employed,30653,Higher,14,Married,Farming-fishing,Husband,White,Male,2407,0,61-100,North America,<=50K
26-40,Government,209109,Higher,14,Single,Prof-specialty,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,70377,Middle,9,Separated,Prof-specialty,Own-child,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,477983,Middle,9,Married,Handlers-cleaners,Husband,Black,Male,0,0,21-40,North America,<=50K
41-60,Employed,170924,High,10,Married,Craft-repair,Husband,White,Male,7298,0,21-40,North America,>50K
26-40,Employed,190174,High,10,Single,Exec-managerial,Not-in-family,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,193787,High,10,Single,Tech-support,Own-child,White,Female,0,0,21-40,North America,<=50K
41-60,Government,97688,High,10,Married,Craft-repair,Husband,White,Male,5178,0,21-40,North America,>50K
41-60,Employed,173960,Higher,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,41-60,North America,<=50K
0-25,Employed,205759,Middle,9,Single,Handlers-cleaners,Own-child,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,220531,Higher,15,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,>50K
0-25,Employed,371987,Higher,13,Single,Exec-managerial,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,200352,Higher,13,Married,Prof-specialty,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,127595,Middle,9,Separated,Prof-specialty,Not-in-family,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,231931,High,10,Single,Sales,Own-child,White,Male,0,0,41-60,North America,<=50K
61-100,Employed,111095,Middle,9,Married,Transport-moving,Husband,White,Male,0,0,0-20,North America,<=50K
0-25,Employed,278130,Middle,9,Single,Craft-repair,Own-child,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,146268,Higher,13,Married,Adm-clerical,Husband,White,Male,7688,0,21-40,North America,>50K
26-40,Employed,217460,Middle,9,Married,Transport-moving,Husband,White,Male,0,0,41-60,North America,>50K
41-60,Employed,238638,Middle,9,Married,Sales,Husband,White,Male,4386,0,21-40,North America,>50K
41-60,Employed,173321,Middle,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,193945,High,12,Single,Tech-support,Not-in-family,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,193815,High,12,Married,Adm-clerical,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Self-Employed,34987,High,10,Married,Farming-fishing,Husband,White,Male,0,0,41-60,North America,>50K
26-40,Employed,59306,Higher,13,Single,Sales,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,142897,Higher,14,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,21-40,Other,>50K
0-25,?,860348,High,10,Single,?,Own-child,Black,Female,0,0,21-40,North America,<=50K
0-25,Employed,199698,High,10,Single,Sales,Own-child,White,Male,0,0,0-20,North America,<=50K
0-25,Employed,191954,High,10,Single,Machine-op-inspct,Not-in-family,White,Male,0,0,21-40,North America,<=50K
61-100,Self-Employed,138714,High,10,Married,Sales,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,423158,High,10,Single,Tech-support,Not-in-family,White,Female,0,0,21-40,North America,<=50K
61-100,Employed,159841,Middle,9,Widowed,Other-service,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Self-Employed,174308,Middle,9,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,50356,High,10,Married,Craft-repair,Husband,White,Male,0,1485,41-60,North America,<=50K
26-40,Employed,186110,Middle,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,200381,Middle,7,Single,Exec-managerial,Not-in-family,White,Female,0,0,21-40,North America,<=50K
61-100,Self-Employed,78383,Middle,9,Married,Farming-fishing,Husband,White,Male,0,0,41-60,North America,<=50K
26-40,Employed,224563,Higher,13,Single,Adm-clerical,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,178686,High,11,Single,Other-service,Not-in-family,White,Male,0,0,21-40,North America,<=50K
41-60,Government,98545,Middle,6,Married,Adm-clerical,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,242606,Middle,9,Married,Transport-moving,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,94235,Middle,9,Single,Craft-repair,Other-relative,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,71195,Higher,14,Single,Prof-specialty,Not-in-family,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,261192,Middle,9,Married,Other-service,Husband,Black,Male,0,0,21-40,North America,<=50K
26-40,Employed,94936,High,12,Single,Sales,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,296478,High,11,Married,Craft-repair,Husband,White,Male,7298,0,21-40,North America,>50K
26-40,Government,119272,Middle,9,Married,Protective-serv,Husband,White,Male,7298,0,21-40,North America,>50K
41-60,Self-Employed,241895,Higher,13,Single,Sales,Not-in-family,White,Male,0,0,41-60,North America,<=50K
61-100,?,36135,Middle,7,Married,?,Husband,White,Male,0,0,0-20,North America,<=50K
26-40,?,151989,High,11,Separated,?,Unmarried,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,156464,Higher,13,Single,Prof-specialty,Own-child,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,117963,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Employed,192262,Middle,9,Married,Other-service,Husband,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,111363,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Government,329752,Middle,7,Married,Transport-moving,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,?,372020,Higher,13,Married,?,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Government,95432,Middle,9,Married,Adm-clerical,Husband,White,Male,0,0,21-40,North America,>50K
26-40,Employed,96129,High,11,Married,Tech-support,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Employed,111949,Middle,9,Married,Adm-clerical,Wife,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,348022,Middle,6,Married,Other-service,Wife,White,Female,0,0,21-40,North America,<=50K
61-100,Employed,270092,Higher,14,Married,Prof-specialty,Husband,White,Male,0,0,21-40,North America,>50K
41-60,Employed,180609,Higher,13,Married,Transport-moving,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,174575,Higher,13,Separated,Exec-managerial,Not-in-family,White,Male,0,1564,41-60,North America,>50K
26-40,Employed,92262,Middle,9,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Self-Employed,183081,High,10,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
0-25,Employed,362589,High,12,Single,Sales,Not-in-family,White,Female,0,0,0-20,North America,<=50K
41-60,Employed,212448,Higher,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,41-60,North America,>50K
26-40,Employed,481060,Middle,9,Separated,Sales,Unmarried,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,89821,Middle,7,Single,Other-service,Own-child,White,Male,0,0,0-20,North America,<=50K
41-60,Employed,256649,Middle,9,Married,Machine-op-inspct,Husband,Black,Male,0,0,21-40,North America,<=50K
0-25,Government,350845,High,10,Single,Adm-clerical,Own-child,White,Female,0,0,0-20,North America,<=50K
0-25,Employed,35633,High,10,Single,Sales,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,172927,Middle,9,Married,Sales,Husband,White,Male,0,0,41-60,North America,<=50K
41-60,Employed,174319,Middle,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,344991,High,10,Married,Craft-repair,Husband,White,Male,0,0,21-40,North America,<=50K
41-60,Employed,108699,High,10,Separated,Sales,Not-in-family,White,Female,0,0,21-40,North America,<=50K
0-25,Employed,396099,Middle,9,Single,Other-service,Not-in-family,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,134152,Middle,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,21-40,North America,<=50K
0-25,Employed,25429,High,10,Single,Adm-clerical,Own-child,White,Female,0,0,0-20,North America,<=50K
0-25,Employed,232392,Middle,9,Single,Other-service,Other-relative,White,Female,0,0,21-40,North America,<=50K
26-40,Employed,220098,Middle,9,Married,Other-service,Wife,White,Female,0,0,21-40,North America,>50K
26-40,Employed,301302,Higher,13,Single,Craft-repair,Not-in-family,White,Male,0,0,41-60,North America,<=50K
41-60,Self-Employed,277946,High,12,Separated,Craft-repair,Not-in-family,White,Male,0,0,21-40,North America,<=50K
26-40,Employed,196164,Middle,9,Single,Other-service,Not-in-family,White,Female,0,0,21-40,North America,<=50K
41-60,Employed,115562,High,10,Married,Tech-support,Husband,White,Male,0,0,21-40,North America,<=50K
0-25,?,137300,Middle,9,Single,?,Other-relative,White,Female,0,0,21-40,North America,<=50K
41-60,Self-Employed,132178,Higher,13,Married,Exec-managerial,Husband,White,Male,0,0,41-60,North America,>50K
